Time Step;Label Index;Name (NA);MIL;SVD;Voxel count;Volume (mm³);Phi (°);Theta (°)
0;1;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;2;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;3;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;4;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;5;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;6;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;7;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;8;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;9;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;10;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;11;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;12;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;13;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;14;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;15;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;16;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;17;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;18;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;19;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;20;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;21;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;22;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;23;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;24;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;25;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;26;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;27;;0.0005945459691760746;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;28;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;29;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;30;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;31;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;32;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;33;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;34;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;35;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;36;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;37;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;38;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;39;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;40;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;41;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;42;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;43;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;44;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;45;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
