Time Step;Label Index;Name (NA);MIL;SVD;Voxel count;Volume (mm³);Surface Area (Lorenson 1987) (mm²);Phi (°);Theta (°)
0;1;;2.7755575615628914e-15;nan;113.0;9.039999999999999e-07;0.0004956739512885413;69.6198647552646;-144.41183495491384
0;2;;2.7755575615628914e-15;nan;120.0;9.6e-07;0.0006486551973589901;75.01211708625488;-80.51337187975942
0;3;;0.0014108945084575497;nan;124.0;9.92e-07;0.0005665116038195414;69.83265652288469;24.869401146739193
0;4;;2.7755575615628914e-15;nan;126.0;1.0079999999999997e-06;0.001111707342937975;82.76160754212448;-41.86272434199295
0;5;;2.7755575615628914e-15;nan;184.0;1.4719999999999998e-06;0.0008348012167279889;72.95345148977593;-13.246242761752896
0;6;;2.7755575615628914e-15;nan;214.0;1.7119999999999999e-06;0.001057630121764681;67.6077017266198;-103.05454463261626
0;7;;0.0042317682893722175;nan;264.0;2.1119999999999994e-06;0.0009508611632871263;77.17881722545366;86.42906055970964
0;8;;2.7755575615628914e-15;nan;288.0;2.3039999999999995e-06;0.0010350056205981478;59.63636505965303;65.5248075390921
0;9;;2.7755575615628914e-15;nan;320.0;2.5599999999999996e-06;0.0012745953428521717;76.4908327715949;12.47325863119198
0;10;;2.7755575615628914e-15;nan;324.0;2.5919999999999995e-06;0.0010957273678984004;89.67174443642179;-132.0914264436562
0;11;;0.00028169555172607996;nan;329.0;2.632e-06;0.0017645919249289093;70.69600739055238;-141.9076525687775
0;12;;2.7755575615628914e-15;nan;338.0;2.704e-06;0.0013569574294170716;89.07382103217824;-66.33112026830663
0;13;;2.7755575615628914e-15;nan;339.0;2.7119999999999996e-06;0.0011959679258542022;68.2220971899193;151.0081963724072
0;14;;2.7755575615628914e-15;nan;372.0;2.9759999999999995e-06;0.0012104093897945213;79.40213847505139;57.50164074353017
0;15;;2.7755575615628914e-15;nan;380.0;3.0399999999999997e-06;0.0012897995598374866;61.75623062604648;-61.532073787504025
0;16;;0.0035873980867265898;nan;385.0;3.0799999999999997e-06;0.0013217475890534053;86.90403769094301;100.59911819609412
0;17;;2.7755575615628914e-15;nan;391.0;3.1279999999999995e-06;0.001440849873731068;73.39946153685914;134.3425725920958
0;18;;2.7755575615628914e-15;nan;398.0;3.1839999999999995e-06;0.0013606347865389374;65.77843607523442;10.587230976535098
0;19;;2.7755575615628914e-15;nan;425.0;3.3999999999999996e-06;0.0018064440738745045;77.45066495132971;95.78629580483528
0;20;;0.009054914375048795;nan;433.0;3.4639999999999994e-06;0.002213619414262828;68.9745542363068;-161.94938035862216
0;21;;2.7755575615628914e-15;nan;446.0;3.5679999999999996e-06;0.0019204075185745302;69.0820375350662;-24.816050793421507
0;22;;2.7755575615628914e-15;nan;487.0;3.896e-06;0.0015199069992912915;87.76558978409437;-40.61252732795776
0;23;;0.005766058362803084;nan;560.0;4.4799999999999995e-06;0.0025737185074366574;67.47721848232983;160.646484662757
0;24;;2.7755575615628914e-15;nan;564.0;4.511999999999999e-06;0.001970001047876209;80.79652534769255;-120.5188282990704
0;25;;2.7755575615628914e-15;nan;575.0;4.6e-06;0.002584920761149661;83.0961604520695;-137.09433439198315
0;26;;2.7755575615628914e-15;nan;581.0;4.647999999999999e-06;0.001848261900419863;74.45848643474824;-67.68059424730879
0;27;;2.7755575615628914e-15;nan;608.0;4.8639999999999995e-06;0.0017132873497838583;85.96465889988563;41.86782016755347
0;28;;2.7755575615628914e-15;nan;657.0;5.255999999999999e-06;0.0028025239170719274;84.37310320433062;162.93970316307994
0;29;;2.7755575615628914e-15;nan;659.0;5.272e-06;0.0017434505824241078;56.703982687084505;98.63727913313541
0;30;;2.7755575615628914e-15;nan;666.0;5.327999999999999e-06;0.0019721553247376293;76.62822301259811;-69.06066501269987
0;31;;0.012912389379076794;nan;684.0;5.471999999999999e-06;0.0019440812890231989;81.72942900335633;58.08661105439117
0;32;;2.7755575615628914e-15;nan;737.0;5.896e-06;0.0021375708493120683;67.7690162870829;-61.65357276364027
0;33;;0.006247343395086258;nan;752.0;6.015999999999999e-06;0.002262396954749523;77.93603491870023;178.61442831506744
0;34;;2.7755575615628914e-15;nan;786.0;6.288e-06;0.0031021226443577474;80.27729334908366;44.383848662825166
0;35;;0.004875682770465017;nan;832.0;6.6559999999999995e-06;0.0027804436759249393;81.17236774612444;168.07332142987315
0;36;;0.013051529845436782;nan;845.0;6.76e-06;0.002366688785203001;84.09648387566976;-117.08031353550476
0;37;;0.027250123036300034;nan;874.0;6.991999999999999e-06;0.003239617497054634;86.85038106872854;7.533331195546312
0;38;;0.033898795383706104;nan;966.0;7.728e-06;0.003452582019855721;81.37306859819947;9.836671821804527
0;39;;2.7755575615628914e-15;nan;1015.0;8.12e-06;0.0024858497788985434;77.42461953542235;163.9175203924885
0;40;;0.006213215149675655;nan;1047.0;8.375999999999999e-06;0.0036528716053195213;68.59976062878876;161.3604372717005
0;41;;2.7755575615628914e-15;nan;1068.0;8.543999999999998e-06;0.0036759149267065853;76.19421562506248;-40.83985281648998
0;42;;2.7755575615628914e-15;nan;1100.0;8.799999999999999e-06;0.002765525947732115;76.99888443838873;-29.416103886489424
0;43;;0.031224684251101698;nan;1141.0;9.127999999999998e-06;0.003744595337291757;81.53723392717296;-96.50139393865452
0;44;;2.7755575615628914e-15;nan;1210.0;9.679999999999999e-06;0.003054685795938718;81.41619650672982;85.62608252023603
0;45;;2.7755575615628914e-15;nan;1225.0;9.799999999999998e-06;0.003427406563235196;79.37763235564447;98.03436169217962
0;46;;2.7755575615628914e-15;nan;1234.0;9.872e-06;0.0034750143197326893;84.34885372546239;-119.39958658041311
0;47;;0.06491199854831242;nan;1254.0;1.0031999999999998e-05;0.004008874107846684;79.62778980527717;-128.50940934231258
0;48;;0.07231297911874857;nan;1288.0;1.0303999999999998e-05;0.004097333440545303;89.9800875915961;-146.55236289482187
0;49;;0.06315663235611568;nan;1293.0;1.0344e-05;0.004023773875228883;79.80411925812626;71.8538471936891
0;50;;2.7755575615628914e-15;nan;1323.0;1.0583999999999999e-05;0.0035417065349488967;79.2878061553445;130.51494497396942
0;51;;2.7755575615628914e-15;nan;1408.0;1.1264e-05;0.0037810515458744226;84.95685235258;-107.25072665484663
0;52;;0.12123904137820185;nan;1416.0;1.1327999999999997e-05;0.005702183863789665;67.93999604348978;-57.281892611833875
0;53;;0.015640015137218022;nan;1437.0;1.1496e-05;0.0037319193125436786;82.84266942926207;156.68626618156068
0;54;;2.7755575615628914e-15;nan;1458.0;1.1663999999999999e-05;0.0038234661424782607;89.78804109571652;-48.512584242166625
0;55;;0.028715660168083024;nan;1537.0;1.2295999999999997e-05;0.0041065549372739955;84.8712692951554;-38.43717015727755
0;56;;0.01706904379250429;nan;1572.0;1.2576e-05;0.00516759664548566;85.02664774466977;31.50910682874503
0;57;;2.7755575615628914e-15;nan;1581.0;1.2647999999999998e-05;0.0041872827742817096;78.4055670606272;99.23242378025085
0;58;;0.9310424182086928;nan;1582.0;1.2655999999999999e-05;0.0045734962259830125;79.86533111800057;-81.64878002858909
0;59;;0.01822113595211383;nan;1602.0;1.2815999999999999e-05;0.0040850389025449095;70.45156410473379;-116.95682455238865
